rank,box_office_year,imdb_id,title,release_year,distributor,genre,domestic_box_office_gross,tickets_sold
1,1980,tt0080684,Star Wars Ep. V: The Empire Strikes Back,1980,20th Century Fox,Adventure,181353855,67417790.0
2,1980,tt0081562,Stir Crazy,1980,Columbia,Black Comedy,101300000,37657992.0
3,1980,tt0079417,Kramer vs. Kramer,1979,,Drama,98982763,36796566.0
4,1980,tt0080339,Airplane!,1980,Paramount Pictures,Comedy,83453539,31023620.0
5,1980,tt0080377,Any Which Way You Can,1980,Warner Bros.,Comedy,70687344,26277823.0
6,1980,tt0081375,Private Benjamin,1980,Warner Bros.,Comedy,69847348,25965556.0
7,1980,tt0080549,Coal Miner's Daughter,1980,Universal,Drama,67182787,24975013.0
8,1980,tt0081529,Smokey and the Bandit II,1980,Universal,Comedy,66132626,24584619.0
9,1980,tt0080455,The Blues Brothers,1980,Universal,Comedy,57229890,21275052.0
10,1980,tt0081283,Ordinary People,1980,Paramount Pictures,Drama,52302978,19443486.0
11,1980,tt0081353,Popeye,1980,Paramount Pictures,Musical,49823037,18521575.0
12,1980,tt0080453,The Blue Lagoon,1980,Columbia,Drama,47923795,17815537.0
13,1980,tt0081696,Urban Cowboy,1980,Paramount Pictures,Western,46918287,17441742.0
14,1980,tt0081505,The Shining,1980,Warner Bros.,Horror,44017374,16363336.0
15,1980,tt0080520,Cheech & Chong’s Next Movie,1980,Universal,Comedy,41675194,15492637.0
16,1980,tt0080487,Caddyshack,1980,Warner Bros.,Comedy,39846344,14812767.0
17,1980,tt0080761,Friday the 13th,1980,Paramount Pictures,Horror,39754601,14778662.0
18,1980,tt0080474,Brubaker,1980,20th Century Fox,Drama,37121708,13799891.0
19,1980,tt0081060,Little Darlings,1980,Paramount Pictures,Comedy,34326249,12760687.0
20,1980,tt0080661,Dressed to Kill,1980,Filmways Pictures,Thriller/Suspense,31899000,11858364.0
21,1980,tt0080745,Flash Gordon,1980,Universal,Action,27107960,10077308.0
22,1980,tt0080678,The Elephant Man,1980,Paramount Pictures,Drama,26010864,9669466.0
23,1980,tt0080472,Bronco Billy,1980,Warner Bros.,Comedy,24265659,9020691.0
